artist,album,track,date
Chano Domínguez,Chano Domínguez En Directo. Piano Sólo.,Hullo Bolinas,07 Jul 2019 22:29
Chano Domínguez,Chano Domínguez En Directo. Piano Sólo.,Alma de mujer,07 Jul 2019 22:19
Chano Domínguez,Chano Domínguez En Directo. Piano Sólo.,El toro y la luna,07 Jul 2019 22:11
Chano Domínguez,Chano Domínguez En Directo. Piano Sólo.,Lush life,07 Jul 2019 22:02
Chano Domínguez,Piano Ibérico,Canción Triste,07 Jul 2019 21:59
Chano Domínguez,Piano Ibérico,Danza De Los Ojos Verdes,07 Jul 2019 21:54
Chano Domínguez,Piano Ibérico,Canción Del Fuego Fatuo,07 Jul 2019 21:48
Chano Domínguez,Piano Ibérico,Tanguillos Mompou,07 Jul 2019 21:43
Chano Domínguez,Piano Ibérico,Cuando Te Veo Pasar,07 Jul 2019 21:36
Chano Domínguez,Piano Ibérico,Danza Del Amor Brujo,07 Jul 2019 21:30
Chano Domínguez,Piano Ibérico,Andaluza Nº 5,07 Jul 2019 21:26
Chano Domínguez,Piano Ibérico,Tangos A Mompou,07 Jul 2019 21:18
Chano Domínguez,Piano Ibérico,El puerto,07 Jul 2019 21:11
Chano Domínguez,Piano Ibérico,Mantrería,07 Jul 2019 21:05
Chano Dominguez,Soleando,Mas Que Swing,07 Jul 2019 20:56
Chano Dominguez,Soleando,El Aguacero,07 Jul 2019 20:47
Chano Dominguez,Soleando,Rumbetango,07 Jul 2019 20:41
Chano Dominguez,Soleando,Habanera de la Alameda,07 Jul 2019 20:32
Chano Dominguez,Soleando,Parque Genoveses,07 Jul 2019 20:25
Chano Domínguez,Soleando,PLAZA DE MINA,07 Jul 2019 20:16
Chano Dominguez,Soleando,Soleando,07 Jul 2019 20:05
Chano Dominguez,Soleando,Mentidero,07 Jul 2019 19:58
Delvon Lamarr Organ Trio,Close But No Cigar,Concussion,07 Jul 2019 00:29
Delvon Lamarr Organ Trio,Close But No Cigar,Little Booker T,07 Jul 2019 00:25
Delvon Lamarr Organ Trio,Close But No Cigar,Ain't It Funky Now,07 Jul 2019 00:20
Delvon Lamarr Organ Trio,Close But No Cigar,Close But No Cigar,07 Jul 2019 00:16
Delvon Lamarr Organ Trio,Close But No Cigar,Memphis,07 Jul 2019 00:13
Delvon Lamarr Organ Trio,Close But No Cigar,Al Greenery,07 Jul 2019 00:10
Delvon Lamarr Organ Trio,Close But No Cigar,Can I Change My Mind,07 Jul 2019 00:05
Delvon Lamarr Organ Trio,Close But No Cigar,Between the Mayo and the Mustard,07 Jul 2019 00:01
Delvon Lamarr Organ Trio,Close But No Cigar,Raymond Brings The Greens,06 Jul 2019 23:56
Delvon Lamarr Organ Trio,Close But No Cigar,Walk On By,06 Jul 2019 23:52
Delvon Lamarr Organ Trio,Live at KEXP!,Move on Up - Live,06 Jul 2019 23:47
Delvon Lamarr Organ Trio,Live at KEXP!,Memphis - Live,06 Jul 2019 23:39
Pyotr Ilyich Tchaikovsky,Mstislav Rostropovich In Moscow - Original Recordings,Variation IV (Andante grazioso),
Delvon Lamarr Organ Trio,Live at KEXP!,South Leo St. Stomp - Live,06 Jul 2019 23:33
Delvon Lamarr Organ Trio,Live at KEXP!,Concussion - Live,06 Jul 2019 23:27
Delvon Lamarr Organ Trio,Live at KEXP!,I Don't Want to Play That - Live,06 Jul 2019 23:22
Delvon Lamarr Organ Trio,Live at KEXP!,Tacoma Black Party - Live,06 Jul 2019 23:18
Delvon Lamarr Organ Trio,Live at KEXP!,Top Going Down Bottom Going Up - Live,06 Jul 2019 23:10
Melanie De Biasio,A stomach is burning,Down,06 Jul 2019 23:07
Melanie De Biasio,A stomach is burning,A Stomach is Burning,06 Jul 2019 23:02
Melanie De Biasio,A stomach is burning,Never gonna make it,06 Jul 2019 22:58
Melanie De Biasio,A stomach is burning,My Man's Gone Now,06 Jul 2019 22:50
Melanie De Biasio,A stomach is burning,Blue,06 Jul 2019 22:44
Melanie De Biasio,A stomach is burning,Let Me Love You,06 Jul 2019 22:39
Melanie De Biasio,A stomach is burning,The Latest Light of Love,06 Jul 2019 22:35
Melanie De Biasio,A stomach is burning,Convictions,06 Jul 2019 22:28
Melanie De Biasio,A stomach is burning,One Time,06 Jul 2019 22:23
Melanie De Biasio,A stomach is burning,Les hommes endormis,06 Jul 2019 22:18
Melanie De Biasio,No Deal,I Feel You,06 Jul 2019 22:16
Melanie De Biasio,No Deal,The Flow,06 Jul 2019 22:11
Melanie De Biasio,No Deal,No Deal,06 Jul 2019 22:07
Melanie De Biasio,No Deal,With Love,06 Jul 2019 22:03
Melanie De Biasio,No Deal,Sweet Darling Pain,06 Jul 2019 21:56
Melanie De Biasio,No Deal,I'm Gonna Leave You,06 Jul 2019 21:52
Melanie De Biasio,No Deal,With All My Love,06 Jul 2019 21:42
Melanie De Biasio,Lilies,Your Freedom Is the End of Me,06 Jul 2019 21:38
Melanie De Biasio,Lilies,Gold Junkies,06 Jul 2019 21:35
Melanie De Biasio,Lilies,Lilies,06 Jul 2019 21:31
Melanie De Biasio,Lilies,Let Me Love You,06 Jul 2019 21:26
Melanie De Biasio,Lilies,Sitting in the Stairwell,06 Jul 2019 21:23
Melanie De Biasio,Lilies,Brother,06 Jul 2019 21:20
Melanie De Biasio,Lilies,Afro Blue,06 Jul 2019 21:15
Melanie De Biasio,Lilies,All My Worlds,06 Jul 2019 21:08
Melanie De Biasio,Lilies,And My Heart Goes On,06 Jul 2019 21:02
Oscar Peterson Trio,Night Train,Night Train,06 Jul 2019 20:57
Oscar Peterson Trio,Night Train,C Jam Blues,06 Jul 2019 20:52
Oscar Peterson Trio,Night Train,Georgia on My Mind,06 Jul 2019 20:49
Oscar Peterson Trio,Night Train,Bag's Groove,06 Jul 2019 20:43
Oscar Peterson Trio,Night Train,Moten Swing,06 Jul 2019 20:40
Oscar Peterson Trio,Night Train,Easy Does It,06 Jul 2019 20:37
Oscar Peterson Trio,Night Train,Honey Dripper,06 Jul 2019 20:34
Oscar Peterson Trio,Night Train,Things Ain't What They Used to Be,06 Jul 2019 20:30
Oscar Peterson Trio,Night Train,I Got it Bad and That Ain't Good,06 Jul 2019 20:25
Oscar Peterson Trio,Night Train,Band Call,06 Jul 2019 20:20
Oscar Peterson Trio,Night Train,Hymn to Freedom,06 Jul 2019 20:14
Oscar Peterson Trio,Night Train,Night Train,06 Jul 2019 20:09
Oscar Peterson Trio,Night Train,Volare,06 Jul 2019 20:05
Oscar Peterson Trio,Night Train,My Heart Belongs to Daddy,06 Jul 2019 20:02
Oscar Peterson Trio,Night Train,Moten Swing,06 Jul 2019 19:58
Oscar Peterson Trio,Night Train,Now's The Time,06 Jul 2019 19:55
Oscar Peterson Trio,Night Train,This Could Be the Start of Something,06 Jul 2019 19:49
Lawrence English,Happiness Will Befall,Within Confines Of Glass,06 Jul 2019 19:42
Machinefabriek,Short Scenes,Scene 15,06 Jul 2019 19:40
Mad Zach,Noth,Noth,06 Jul 2019 19:37
BLNDR,Drone Capacity E.P.,Wandering Soul - Original mix,06 Jul 2019 19:31
Abul Mogard,Above All Dreams,Above All Dreams,06 Jul 2019 19:15
Mat Zo,Damage Control,Superman Lost,06 Jul 2019 19:13
Hydrangea,Osmosis,Osmosis V - Original mix,06 Jul 2019 19:05
Swardy,Here on My Own,I Remember Maine,06 Jul 2019 19:02
Hydrangea,Dawn Lights,5 O'Clock - Original Mix,06 Jul 2019 18:58
Nils Frahm,Unter / Über,Unter - Machinefabriek Remix,06 Jul 2019 18:56
Subterraneanact,Persistent Objects,Persistent Object,06 Jul 2019 18:50
Machinefabriek,With Voices,Ii (With Chantal Acda),06 Jul 2019 18:45
Emptyset,Borders,Descent,06 Jul 2019 18:41
M83,Les rencontres d'après minuit / You and the night (Original Motion Picture Soundtrack),Holograms,06 Jul 2019 18:38
Gareth Davis,Grower,Grower - Part 1,06 Jul 2019 18:21
Isorinne,Wave Stuff,Wave 5,06 Jul 2019 18:15
Banabila,Error Log,Stemmenspel,06 Jul 2019 18:07
Paw Grabowski,Hendes Bregneøjne,Untitled 3,06 Jul 2019 18:05
Machinefabriek,Signals,Signals,06 Jul 2019 17:30
Emptyset,Material,Chislehurst Mine   Kent England 02.11.12,06 Jul 2019 17:24
Laurence Guy,Saw You for the First Time,W.L.Y.B,06 Jul 2019 17:17
Laurence Guy,Saw You for the First Time,Orchard Road,06 Jul 2019 17:13
Laurence Guy,Saw You for the First Time,Drum Is A Woman (feat. Steve Spacek),06 Jul 2019 17:09
Laurence Guy,Saw You for the First Time,Stray,06 Jul 2019 17:04
Laurence Guy,Saw You for the First Time,Saw You for the First Time,06 Jul 2019 16:58
Laurence Guy,Saw You for the First Time,Anchor (feat. Ishmael),06 Jul 2019 16:53
Laurence Guy,Saw You for the First Time,Claudi,06 Jul 2019 16:49
Laurence Guy,Saw You for the First Time,Wichita Falls,06 Jul 2019 16:43
Laurence Guy,Saw You for the First Time,Gone (feat. Contours),06 Jul 2019 16:37
Laurence Guy,Saw You for the First Time,Intro,06 Jul 2019 16:33
Haywyre,Two Fold Pt. 2,Restraint,06 Jul 2019 16:32
Oscar Peterson Trio,Night Train,Hymn to Freedom,06 Jul 2019 01:33
Oscar Peterson Trio,Night Train,Things Ain't What They Used to Be,06 Jul 2019 01:28
Oscar Peterson Trio,Night Train,Easy Does It,06 Jul 2019 01:24
Oscar Peterson Trio,Night Train,Night Train,06 Jul 2019 01:20
Stan Getz,The Greatest Jazz Albums of 1956 Vol. 5,Going Places,06 Jul 2019 01:15
Duke Ellington,Duke Ellington & John Coltrane,In A Sentimental Mood,06 Jul 2019 01:10
Bill Evans,The Bill Evans Album,Waltz for Debby,06 Jul 2019 01:03
John Coltrane,Giant Steps (Deluxe Edition),Naima,06 Jul 2019 00:58
Duke Ellington,Duke Ellington & John Coltrane,Take The Coltrane,06 Jul 2019 00:53
Coleman Hawkins,Coleman Hawkins Encounters Ben Webster (Expanded Edition),Rosita,06 Jul 2019 00:48
Stan Getz,Jazz Samba,Samba De Uma Nota So,06 Jul 2019 00:41
Chet Baker,Chet Baker Sings,The Thrill Is Gone - Vocal Version,06 Jul 2019 00:38
Chet Baker,Chet Baker Sings,I Fall In Love Too Easily - Vocal Version,06 Jul 2019 00:34
Paul Desmond,Greatest Hits Series--Paul Desmond,Take Ten,06 Jul 2019 00:32
Bill Evans,Undercurrent,Dream Gypsy,06 Jul 2019 00:27
Stan Getz,The Greatest Jazz Albums of 1956 Vol. 5,Indiana,06 Jul 2019 00:22
João Donato,O Piano de João Donato,Ê Lalá Lay-ê,06 Jul 2019 00:18
Bill Evans Trio,Moon Beams,Re: Person I Knew,06 Jul 2019 00:11
Bill Evans,Symbiosis,Symbiosis 2nd Movement: Largo - Andante - Maestoso - Largo Pt.1,06 Jul 2019 00:02
Chet Baker,Polka Dots And Moonbeams,Polka Dots and Moonbeams,05 Jul 2019 23:51
The Dave Brubeck Quartet,Time Out,Take Five,05 Jul 2019 23:46
Miles Davis Quintet,Workin',The Theme - Take 2,05 Jul 2019 23:44
Miles Davis Quintet,Workin',Half Nelson,05 Jul 2019 23:39
Miles Davis Quintet,Workin',Ahmad's Blues,05 Jul 2019 23:32
Miles Davis Quintet,Workin',Trane's Blues,05 Jul 2019 23:22
Miles Davis Quintet,Workin',The Theme - Take 1,05 Jul 2019 23:20
Miles Davis Quintet,Workin',In Your Own Sweet Way,05 Jul 2019 23:14
Miles Davis Quintet,Workin',Four,05 Jul 2019 23:06
Miles Davis Quintet,Workin',It Never Entered My Mind,05 Jul 2019 23:01
Stan Getz,Stan Getz & Bill Evans,But Beautiful,05 Jul 2019 22:56
Bill Evans Trio,The Complete Village Vanguard Recordings 1961,Gloria's Step - Live - (take 1 interrupted),05 Jul 2019 22:49
Bill Evans,Undercurrent,Skating in Central Park,05 Jul 2019 22:44
Art Tatum,Piano Starts Here,The Man I Love - Live,05 Jul 2019 22:42
Art Tatum,Piano Starts Here,The Kerry Dance - Live,05 Jul 2019 22:40
Art Tatum,Piano Starts Here,Tatum Pole Boogie - Live,05 Jul 2019 22:37
Art Tatum,Piano Starts Here,Willow Weep For Me - Live,05 Jul 2019 22:34
Art Tatum,Piano Starts Here,I Know That You Know - Live,05 Jul 2019 22:32
Art Tatum,Piano Starts Here,Yesterdays - Live,05 Jul 2019 22:28
Art Tatum,Piano Starts Here,Someone to Watch Over Me - Live,05 Jul 2019 22:24
Art Tatum,Piano Starts Here,Humoresque - Live,05 Jul 2019 22:20
Art Tatum,Piano Starts Here,How High The Moon - Live,05 Jul 2019 22:18
Art Tatum,Piano Starts Here,Sophisticated Lady,05 Jul 2019 22:14
Art Tatum,Piano Starts Here,Tiger Rag,05 Jul 2019 22:12
Art Tatum,Piano Starts Here,St. Louis Blues,05 Jul 2019 22:09
Art Tatum,Piano Starts Here,Tea for Two,05 Jul 2019 22:06
Julie London,Nice Girls Don't Stay for Breakfast,Nice Girls Don't Stay for Breakfast,05 Jul 2019 22:04
Antônio Carlos Jobim,Stone Flower (CTI Records 40th Anniversary Edition),Children's Games,05 Jul 2019 22:00
Stan Getz,Jazz Samba Encore!,Samba de Duas Notas,05 Jul 2019 21:55
The Dave Brubeck Quartet,Time Further Out,Unsquare Dance,05 Jul 2019 21:53
Wayne Shorter,Speak No Evil,Infant Eyes - Remastered1998/Rudy Van Gelder Edition,05 Jul 2019 21:46
Chet Baker,Chet Baker Sings,I Get Along Without You Very Well (Except Sometimes),05 Jul 2019 21:42
Stan Getz,Jazz 'Round Midnight,Vivo Sonhando,05 Jul 2019 21:39
Thelonious Monk,Genius Of Modern Music (Vol.1 Expanded Edition),'Round Midnight,05 Jul 2019 21:36
Duke Ellington,The Ellington Suites,The Single Petal Of A Rose - The Queen's Suite,05 Jul 2019 21:32
Stan Getz,Recorded Fall '61,A Nightingale Sang In Berkeley Square,05 Jul 2019 21:24
João Donato,Blue Note Trip 7: Birds / Beats,A Rã,05 Jul 2019 21:22
Ahmad Jamal,Poinciana,Poinciana,05 Jul 2019 21:17
Julie London,The Magic Of,Cry Me a River,05 Jul 2019 21:14
Stan Getz,Jazz Samba Encore!,Saudade Vem Correndo,05 Jul 2019 21:11
mamerico,minuscule,okiniiri,05 Jul 2019 21:08
mamerico,minuscule,Waltz for Hulot,05 Jul 2019 21:05
Simone Gatto,Different Season Vol. 3,Floating Thoughts,05 Jul 2019 20:59
Alva Noto,Unieqav,Uni Version,05 Jul 2019 20:55
Alva Noto,Univrs,Uni Acronym,05 Jul 2019 20:48
Alva Noto,Unieqav,Uni Dna,05 Jul 2019 20:42
Alva Noto,Unitxt,U_08,05 Jul 2019 20:37
Alva Noto,Univrs,Uni Syc,05 Jul 2019 20:31
Alva Noto,Unieqav,Uni Clip,05 Jul 2019 20:29
Alva Noto,Univrs,Uni Mode,05 Jul 2019 20:27
Alva Noto,Unieqav,Uni Chord,05 Jul 2019 20:21
Alva Noto,Univrs,Uni Dia,05 Jul 2019 20:14
Alva Noto,Unieqav,Uni Edit,05 Jul 2019 20:13
Alva Noto,Unitxt,unitxt code (data to aiff),05 Jul 2019 20:06
Alva Noto,Unitxt,U_08-1,05 Jul 2019 20:02
Alva Noto,Unitxt,U_04,05 Jul 2019 19:56
Alva Noto,Univrs,Uni Asymmetric III-IIII,05 Jul 2019 19:55
Alva Noto,Univrs,Uni Iso,05 Jul 2019 19:44
Cut Chemist,Die Cut,You Want It I Got It,05 Jul 2019 18:54
Cut Chemist,Die Cut,Energy (Interlude 2),05 Jul 2019 18:53
Cut Chemist,Die Cut,Madman,05 Jul 2019 18:50
Cut Chemist,Die Cut,Metalstorm,05 Jul 2019 18:47
Cut Chemist,Die Cut,Moonlightin' with Biz,05 Jul 2019 18:45
Cut Chemist,Die Cut,Die Cut (Wrap) - Bonus Track,05 Jul 2019 18:38
Cut Chemist,Die Cut,Rhythm Method,05 Jul 2019 18:34
Cut Chemist,Die Cut,I Gotta Weapon,05 Jul 2019 18:31
Cut Chemist,Die Cut,Plains,05 Jul 2019 18:30
Cut Chemist,Die Cut,Home Away from Home,05 Jul 2019 18:26
Cut Chemist,Die Cut,Home,05 Jul 2019 18:23
Cut Chemist,Die Cut,Plane Jane,05 Jul 2019 18:19
Cut Chemist,Die Cut,The Lift Part 2 (The Dream Sequence),05 Jul 2019 18:18
Cut Chemist,Die Cut,Prelude for a Madman,05 Jul 2019 18:17
Cut Chemist,Die Cut,Die Cut (Theme),05 Jul 2019 18:13
Cut Chemist,Die Cut,Work My Mind,05 Jul 2019 18:09
Kruder & Dorfmeister,Shakatakadoodub,Black Baby (DJ-Kicks),05 Jul 2019 18:04
The Whitest Boy Alive,1517 EP,1517 (Morgan Geist remix),05 Jul 2019 17:54
Beauty's Confusion,Breathe In,Moments Like These,05 Jul 2019 17:48
Hercules and Love Affair,Hercules & Love Affair,Raise Me Up,05 Jul 2019 17:44
Ben Westbeech,There's More to Life Than This,The Book,05 Jul 2019 17:39
Nils Frahm,Screws,Sol,05 Jul 2019 17:37
DJ Cam,Soulshine,Bounce,05 Jul 2019 17:28
Dauwd,What's There,What's There,05 Jul 2019 17:22
Jungle,Platoon / Drops,Drops,05 Jul 2019 17:19
Austin Peralta,Endless Planets,Capricornus,05 Jul 2019 17:10
Massive Attack,Singles Collection,Unfinished Sympathy,05 Jul 2019 17:04
Kraftwerk,Computer World (2009 Remastered Version),It's More Fun to Compute - 2009 Remaster,05 Jul 2019 17:00
Caribou,Swim,Odessa,05 Jul 2019 16:56
Moloko,All Back To Mine,Sing It Back - Can 7's 1930 Mix,05 Jul 2019 16:54
µ-Ziq,Tango N'Vectif,Phragmal Synthesis Pt. 2,05 Jul 2019 16:48
Marquis Hawkes,Will Saul presents: DJ-Kicks EP,Life Struggle,05 Jul 2019 16:43
Herbert,Around the House (Special Edition),Close to Me,05 Jul 2019 16:39
Herbert,Around the House (Special Edition),(-),05 Jul 2019 16:38
Herbert,Around the House (Special Edition),Around The House,05 Jul 2019 16:34
Herbert,You Are Here,I Hadn't Known (I Only Heard),05 Jul 2019 16:26
Broadcast,Echo's Answer,Echo's Answer,05 Jul 2019 16:23
Jamie Lidell,Building A Beginning,Believe in Me,05 Jul 2019 16:19
Jamie Lidell,Building A Beginning,Building A Beginning,05 Jul 2019 16:15
Jamiroquai,Automaton,Cloud 9,05 Jul 2019 16:11
Jamiroquai,A Funk Odyssey,Corner of the Earth,05 Jul 2019 16:04
Jamiroquai,A Funk Odyssey,You Give Me Something,05 Jul 2019 16:01
Jamiroquai,A Funk Odyssey,Little L,05 Jul 2019 15:56
Jamiroquai,High Times: Singles 1992-2006,Runaway - Remastered,05 Jul 2019 15:52
Pyotr Ilyich Tchaikovsky,Mstislav Rostropovich In Moscow - Original Recordings,Variation IV (Andante grazioso),
Reincidentes,Algazara,La Viuda,05 Jul 2019 15:49
Reincidentes,Algazara,La Rabia,05 Jul 2019 15:46
Reincidentes,Algazara,Nazis nunca más,05 Jul 2019 15:44
Manu Chao,Baïonarena (Live),Bienvenida a Tijuana,05 Jul 2019 15:42
Extremoduro,Grandes exitos y fracasos- Episodio 2º,El duende del parque - Versión 2004,05 Jul 2019 15:38
Albert Pla,Veintegenarios,Mañana Lo Dejo,05 Jul 2019 15:33
Reincidentes,Algazara,Carmen,05 Jul 2019 15:30
Inadaptats,INDP,Gen Comunista,05 Jul 2019 15:28
Reincidentes,Algazara,El Cuento Del Alfajor,05 Jul 2019 15:26
Kortatu,Aizkolari,Mierda de ciudad,05 Jul 2019 15:23
Inadaptats,INDP,Perquè Vull,05 Jul 2019 15:19
Mano Negra,Best Of 2005,Senor Matanza,05 Jul 2019 15:15
Extremoduro,Agila,Buscando una Luna,05 Jul 2019 15:11
Banda Bassotti,Un Altro Giorno D’Amore (Live at C.S.I.O.A. Villaggio Globale Roma),Barboni - Live,05 Jul 2019 15:07
Extremoduro,Agila,Cabezabajo,05 Jul 2019 15:03
Mano Negra,Live 2005,Indios De Barcelona (Live 1991),05 Jul 2019 15:00
Reincidentes,Algazara,Sheena Is A Punk Rocker,05 Jul 2019 14:58
Platero y tú,Muy Deficiente,El roce de tu cuerpo,05 Jul 2019 14:53
Negu Gorriak,Ideia Zabaldu,Hitz Egin,05 Jul 2019 14:50
Extremoduro,Agila,Tomás,05 Jul 2019 14:49
La Cabra Mecánica,Vestidos De Domingo,La Maceta,05 Jul 2019 14:44
Extremoduro,Iros Todos a Tomar Por Culo,Correcaminos Estate Al Loro,05 Jul 2019 14:41
Extremoduro,Grandes exitos y fracasos- Episodio 2º,Volando solo - Versión 2004,05 Jul 2019 14:37
Def con Dos,Dogmatofobia,El día de la bestia - From the Movie El día de la bestia,05 Jul 2019 14:34
Marea,Besos De Perro,La luna me sabe a poco,05 Jul 2019 14:28
Albert Pla,Veintegenarios,El Gallo Eduardo Montenegro,05 Jul 2019 14:24
Fermin Muguruza,Inkomunikazioa / Komunikazioa,Linguae Navarrorun Museum I,05 Jul 2019 14:18
Reincidentes,Algazara,Mi balcón,05 Jul 2019 14:15
Negu Gorriak,Borreroak Baditu Milaka Aurpegi,Rock&Rollaren Jukutria,05 Jul 2019 14:12
Inadaptats,Homenatge a Ovidi,Va Com Va,05 Jul 2019 14:09
Ska-P,Todo Ska-p,España Va Bien,05 Jul 2019 14:05
Kortatu,Aizkolari,Hernani 15/6/84,05 Jul 2019 14:00
Reincidentes,Algazara,Jartos d'aguantá,05 Jul 2019 13:54
Tonino Carotone,Mondo Difficile,Me Cago en el Amor,05 Jul 2019 13:48
Reincidentes,Algazara,Yaveh Se Esconde Entre Las Rejas,05 Jul 2019 13:43
Extremoduro,Agila,El Dia De La Bestia,05 Jul 2019 13:40
Tomasito,Y de Lo Mío¿Qué?,Back in black,05 Jul 2019 13:35
Extremoduro,Agila,Sucede - Versión 2004,05 Jul 2019 13:32
Negu Gorriak,Borreroak Baditu Milaka Aurpegi,Bi Doberman Beltz,05 Jul 2019 13:27
Rosendo,Un Palo Al Agua (20 Grandes Canciones),Agradecido,05 Jul 2019 13:23
Kortatu,Aizkolari,La Familia Iskariote,05 Jul 2019 13:21
Hechos Contra El Decoro,Danza De Los Nadie,La Llave De Mi Corazón,05 Jul 2019 13:17
Platero y tú,Hay Mucho Rock & Roll. Grandes Exitos Vol. 1,Cigarrito,05 Jul 2019 13:12
Skalariak,Klub Ska,Puto Alcohol,05 Jul 2019 13:10
El Último Ke Zierre,Ay De Mi!,Ay de mí,05 Jul 2019 13:07
Extremoduro,Iros Todos a Tomar Por Culo,Bri bri bli bli (En el más sucio rincón de mi negro corazón) - Live,05 Jul 2019 13:03
Los Delinqüentes,El Sentimiento Garrapatero Que Nos Traen Las Flores,A La Luz Del Lorenzo,05 Jul 2019 12:58
Anestesia,Fermin Muguruza Canciones de Amor y Odio (1984-1998),Basurdearen Irrintzia,05 Jul 2019 12:54
Extremoduro,Agila,Prometeo,05 Jul 2019 12:51
Extremoduro,Agila,Me Estoy Quitando,05 Jul 2019 12:49
Peret,Éxitos Grandes,Qué Suerte,05 Jul 2019 12:45
Negu Gorriak,Borreroak Baditu Milaka Aurpegi,Kaixo,05 Jul 2019 12:42
Negu Gorriak,Ideia Zabaldu,Hiri Gerrilaren Dantza,05 Jul 2019 12:39
Kortatu,Aizkolari,Tolosa inauteriak,05 Jul 2019 12:38
Reincidentes,Algazara,La Unidad,05 Jul 2019 12:35
Kortatu,Aizkolari,Zu Atrapatu Arte,05 Jul 2019 12:33
Reincidentes,Y Ahora Qué?,T.V.,05 Jul 2019 12:29
Inadaptats,INDP,Primera Revolució,05 Jul 2019 12:26
Kortatu,Azken Guda Dantza,El último ska,05 Jul 2019 12:23
Albert Pla,Veintegenarios,El Camion De La Basura,05 Jul 2019 12:18
Negu Gorriak,Borreroak Baditu Milaka Aurpegi,Pistolaren Mintzoa,05 Jul 2019 12:15
Reincidentes,Algazara,Cucaracha Blanca,05 Jul 2019 12:13
Banda Bassotti,Un Altro Giorno D’Amore (Live at C.S.I.O.A. Villaggio Globale Roma),Avanzo De Cantiere - Live,05 Jul 2019 12:07
El Último Ke Zierre,Ay De Mi!,Canción del gitano apaleado,05 Jul 2019 12:05
Albert Pla,Albert Pla Supone A Fonollosa,El lado mas bestia de la vida,05 Jul 2019 11:59
Reincidentes,Algazara,Mili KK,05 Jul 2019 11:58
Extremoduro,Grandes exitos y fracasos- Episodio 2º,Bulerías de la sangre caliente - Versión 2004,05 Jul 2019 11:54
Banda Bassotti,Un Altro Giorno D’Amore (Live at C.S.I.O.A. Villaggio Globale Roma),Carabina 30-30 - Live,05 Jul 2019 11:51
Peret,Éxitos Grandes,La Fiesta No Es para Feos,05 Jul 2019 11:48
Ska-P,Todo Ska-p,Romero El Madero,05 Jul 2019 11:44
Negu Gorriak,Borreroak Baditu Milaka Aurpegi,JFK,05 Jul 2019 11:39
Reincidentes,Algazara,Cuerpo Muerto,05 Jul 2019 11:36
Negu Gorriak,Borreroak Baditu Milaka Aurpegi,Chaquito,05 Jul 2019 11:32
Pata Negra,Blues de la Frontera (Remasterizada),Yo Me Quedo en Sevilla - Remasterizada,05 Jul 2019 11:27
Albert Pla,No Solo De Rumba Vive El Hombre,Joaquin el Necio,05 Jul 2019 11:23
Albert Pla,Veintegenarios,Alboraya,05 Jul 2019 11:20
Extremoduro,Grandes exitos y fracasos- Episodio 2º,Amor Castuo - Live,05 Jul 2019 11:16
Manu Chao,Baïonarena (Live),Me Quedo Contigo (Si Me Das A Elegir),05 Jul 2019 11:10
Negu Gorriak,Hipokrisiari Stop! Bilbo 93-X-30,Bi Doberman Beltz,05 Jul 2019 11:07
Betagarri,Arnasa Hartu,Zure Ingurua,05 Jul 2019 11:04
Negu Gorriak,Ustelkeria,Jainkoak Gorde Beza Lehendakaria,05 Jul 2019 11:02
Banda Bassotti,Un Altro Giorno D’Amore (Live at C.S.I.O.A. Villaggio Globale Roma),Un Altro Giorno d'Amore - Live,05 Jul 2019 10:55
Banda Bassotti,Figli della stessa rabbia,Cararo sindaco,05 Jul 2019 10:54
Charles Mingus,Ah Um,Better Git It in Your Soul,04 Jul 2019 22:59
Miles Davis,Dig [Original Jazz Classics Remasters] (OJC Remaster),Out Of The Blue - Album - Remastered,04 Jul 2019 22:53
Sonny Rollins,Way Out West (Deluxe Edition),I'm an Old Cowhand,04 Jul 2019 22:46
Herbie Hancock,Then And Now: The Definitive Herbie Hancock,River - 2008/Live At Yahoo!,04 Jul 2019 22:41
Chick Corea,Solo Piano: Portraits,Portrait #2 – Krakow,04 Jul 2019 22:39
Ahmad Jamal Trio,Ahmad Jamal at the Pershing: But Not for Me,But Not For Me - Live At The Pershing Chicago 1958,04 Jul 2019 22:34
Miles Davis Quintet,Live in Berlin 1969,I fall in love too easily,04 Jul 2019 22:30
Art Blakey & The Jazz Messengers,The Jazz Messengers,Weird-O,04 Jul 2019 22:23
Duke Ellington,First Time! The Count Meets The Duke,Corner Pocket (Aka Until I Met You),04 Jul 2019 22:17
Art Blakey,Les Liaisons Dangereuses Bande Originale Intégrale (Hd Remastered),No Hay Problema,04 Jul 2019 22:12
Freddie Hubbard,The Hub of Hubbard (192 Khz),The Things We Did Last Summer,04 Jul 2019 22:05
Gary Burton,Selected Recordings,Desert Air,04 Jul 2019 21:58
Clifford Brown,Clifford Brown And Max Roach,Delilah,04 Jul 2019 21:49
Weather Report,Heavy Weather (Expanded Edition),A Remark You Made,04 Jul 2019 21:42
Thelonious Monk,The Complete Riverside Recordings,Argentia,04 Jul 2019 21:35
Max Roach,Members Don't Get Weary,Libra,04 Jul 2019 21:29
Charlie Parker,Big Band,Almost Like Being In Love,04 Jul 2019 21:27
Oliver Nelson,The Blues and the Abstract Truth,Stolen Moments,04 Jul 2019 21:18
Modern Jazz Quartet,Elegance: The Birth of the Modern Jazz Quartet,Softly as in a Morning Sunrise,04 Jul 2019 21:14
